CountActive,Description,Ateco,IdProvince
9954,ATTIVITÀ MANIFATTURIERE,C,13
4243,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,13
17949,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,13
16865,COSTRUZIONI,F,13
40,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,13
189,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,13
166,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,13
488,ISTRUZIONE,P,13
3153,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,13
656,SANITA' E ASSISTENZA SOCIALE,Q,13
2033,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,13
1969,TRASPORTO E MAGAZZINAGGIO,H,13
1364,AGRICOLTURA SILVICOLTURA E PESCA,A,14
4,ALTRE ATTIVITÀ,X,14
774,ALTRE ATTIVITÀ DI SERVIZI,S,14
162,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,14
904,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,14
565,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,14
1641,ATTIVITA' IMMOBILIARI,L,14
1615,ATTIVITÀ MANIFATTURIERE,C,14
513,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,14
3242,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,14
2177,COSTRUZIONI,F,14
5,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,14
40,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,14
42,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,14
79,ISTRUZIONE,P,14
549,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,14
81,SANITA' E ASSISTENZA SOCIALE,Q,14
268,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,14
172,TRASPORTO E MAGAZZINAGGIO,H,14
7522,AGRICOLTURA SILVICOLTURA E PESCA,A,15
53,ALTRE ATTIVITÀ,X,15
